Area Code,Boroughs,Year,Total Incidents,Total Action Taken,Warning Letters,Fixed Penalty Notices,Statutory Notices,Formal cautions,Injunctions,Prosecutions,Recycling Rate
E09000021,Kingston upon Thames,2022/23,3721,2439,0,346,231,1,0,0,47
E09000022,Lambeth,2022/23,5951,4454,11,1572,481,0,0,0,31
E09000023,Lewisham,2022/23,24327,2846,188,1515,120,14,0,1,23
E09000024,Merton,2022/23,17914,6603,4854,1180,19,5,0,0,43
E09000025,Newham,2022/23,17497,5794,0,804,1266,0,0,6,26
E09000026,Redbridge,2022/23,6713,7435,532,659,183,0,0,21,31
E09000027,Richmond upon Thames,2022/23,3675,1216,0,110,0,0,0,0,40
E09000028,Southwark,2022/23,18676,3006,0,800,427,0,0,3,32
E09000029,Sutton,2022/23,4946,1952,3,1167,0,0,0,7,43
E09000030,Tower Hamlets,2022/23,15861,17891,1200,585,162,0,0,0,18
E09000031,Waltham Forest,2022/23,9160,5285,0,3128,3,0,0,1,33
E09000032,Wandsworth,2022/23,6094,17737,68,4302,0,0,0,0,22
E09000033,Westminster,2022/23,30737,20348,760,2694,784,0,0,3,25
